NM_001105505	18.24	20.4	17.12	12.3	12.77	17.88	14.17	15.94
NM_027855	15.66	17.45	14.27	10.98	11.15	15.1	12.03	14.38
NM_001081394	20.81	20.09	21.57	18.37	19.22	19.44	18.36	19.34
NM_001013608	11.19	11.06	9.72	10.88	13.41	12.13	12.89	11.94
NM_023507	8.27	8.74	7.1	8.78	9.46	9.34	9.29	8.16
NM_021446	17.4	21.13	20.23	17.13	17.32	21.49	23.1	24.91
NM_001163718	9.93	9.99	12.47	9.39	14.17	14.82	15.67	15.46
NM_026676	9.88	9.87	12.5	9.4	14.04	15	15.54	15.42
NR_027970	0	0	0	0	0	0	0	0
NM_025319	12.58	14.53	20.23	20.82	22.84	23.98	21.23	22.03
NM_025323	24.91	28.52	32.99	31.61	32.28	38.58	34.24	36.96
NM_024179	8.92	9.83	9.45	11.08	13.73	15.71	15.83	16.31
NM_001177543	0	0	0	0	0	0	0	0
NM_027860	7.62	5.64	7.09	7.97	8.12	9.48	8.38	7.92
NM_001177603	11.94	12.6	16.01	13.93	15.27	22.8	23.13	25.03
NM_001177606	10.94	12.95	16.32	13.57	15.12	22.59	23.16	24.82
NM_001177601	10.69	11.61	14.35	12.52	13.91	20.39	20.78	22.38
NM_001177607	10.63	12.56	15.69	13.17	14.61	21.72	22.46	23.95
NM_145758	10.41	11.49	14.08	12.38	13.75	19.79	20.39	22.17
NM_026757	9.34	11.66	14.1	11.87	13.42	19.22	20.06	21.61
NM_001081365	4.75	4.38	6.74	9.11	6.76	11.28	9.22	15.27
NM_026686	2.66	3.03	2.82	3.86	2.79	4.38	4.67	6.66
NM_026661	10.03	10.96	12.07	11.25	10.7	12.14	11.38	12.17
NM_001164818	9.72	10.63	11.67	10.89	10.41	11.84	11	11.78
NR_027897	15.74	15.71	17.26	18.11	16.45	19.82	16.73	19.09
NM_001159638	0.03	0.1	0.03	0	0.1	0.06	0.03	0.11
NM_028747	0.02	0.09	0.03	0	0.09	0.05	0.03	0.1
NM_026696	1.93	1.67	1.94	1.74	1.77	1.65	1.91	1.88
NM_020003	7.74	10.67	9.26	7.68	7.92	8.03	7.3	9.21
NM_028754	9.27	9.66	10.95	9.68	10.09	11.95	10.77	11.93
NM_025345	17.33	17.04	21.22	18.79	19.35	19.83	19.79	18.63
